,Group,DEFAULT,Horizon,Source,LOAN SEQUENCE NUMBER,Calendar Time,CURRENT LOAN DELINQUENCY STATUS,LOAN AGE,CURRENT INTEREST RATE,ESTIMATED LOAN TO VALUE (ELTV),CREDIT SCORE,FIRST TIME HOMEBUYER FLAG,NUMBER OF UNITS,OCCUPANCY STATUS,ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),ORIGINAL DEBT-TO-INCOME (DTI) RATIO,ORIGINAL LOAN-TO-VALUE (LTV),CHANNEL,AMORTIZATION TYPE,PROPERTY STATE,PROPERTY TYPE,LOAN PURPOSE,ORIGINAL LOAN TERM,NUMBER OF BORROWERS,OrigYear,OrigQuarter,OrigDate,HPI,UNRATE,inflation,% Change in UPB,Calendar Time,HPI
57759,2725.0,0,0,orig,F02Q10074614,2014-10,2,152.0,7.375,0.5951,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,207.7,5.7,1.7,-21.029999999999998,,
57758,2724.0,0,24,Duplicated,F02Q10074614,2012-09,1,127.0,7.375,0.7108,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,185.09,7.8,2.0,-15.950000000000001,,
57757,2724.0,0,23,Duplicated,F02Q10074614,2012-10,1,128.0,7.375,0.7058,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,186.0,7.8,2.2,-16.12,,
57756,2724.0,0,22,Duplicated,F02Q10074614,2012-11,2,129.0,7.375,0.7009,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,186.89,7.7,1.8,-16.3,,
57755,2724.0,0,21,Duplicated,F02Q10074614,2012-12,2,130.0,7.375,0.696,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,187.81,7.9,1.7,-16.48,,
57754,2724.0,0,20,Duplicated,F02Q10074614,2013-01,2,131.0,7.375,0.6888,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,189.2,8.0,1.6,-16.73,,
57753,2724.0,0,19,Duplicated,F02Q10074614,2013-02,0,132.0,7.375,0.6845,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,190.39,7.7,2.0,-16.73,,
57752,2724.0,0,18,Duplicated,F02Q10074614,2013-03,0,133.0,7.375,0.6718,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,192.27,7.5,1.5,-17.47,,
57751,2724.0,0,17,Duplicated,F02Q10074614,2013-04,0,134.0,7.375,0.667,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,193.23,7.6,1.1,-17.65,,
57750,2724.0,0,16,Duplicated,F02Q10074614,2013-05,0,135.0,7.375,0.6587,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,194.78,7.5,1.4,-18.029999999999998,,
57749,2724.0,0,15,Duplicated,F02Q10074614,2013-06,0,136.0,7.375,0.6538,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,195.98,7.5,1.8,-18.13,,
57748,2724.0,0,14,Duplicated,F02Q10074614,2013-07,0,137.0,7.375,0.6471,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,197.07,7.3,2.0,-18.52,,
57747,2724.0,0,13,Duplicated,F02Q10074614,2013-08,0,138.0,7.375,0.6452,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,197.65,7.2,1.5,-18.52,,
57746,2724.0,0,12,Duplicated,F02Q10074614,2013-09,0,139.0,7.375,0.6406,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,198.62,7.2,1.2,-18.709999999999997,,
57745,2724.0,0,11,Duplicated,F02Q10074614,2013-10,0,140.0,7.375,0.6372,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,199.18,7.2,1.0,-18.9,,
57743,2724.0,0,9,Duplicated,F02Q10074614,2013-12,1,142.0,7.375,0.6317,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,200.45,6.7,1.5,-19.1,,
